frame_id,timestamp_sec,high_or_critical_zone_count,total_zones,zones_high_or_critical,total_count,raw_multi_zone_alert
1025,34.12189502643219,2,8,"crosswalk_main, sidewalk_right",237,0
1026,34.15518468011652,2,8,"crosswalk_main, sidewalk_right",230,0
1027,34.18847433380084,2,8,"crosswalk_main, sidewalk_right",234,0
1028,34.22176398748517,2,8,"crosswalk_main, sidewalk_right",241,0
1029,34.25505364116949,2,8,"crosswalk_main, sidewalk_right",235,0
1030,34.28834329485381,2,8,"crosswalk_main, sidewalk_right",221,0
1031,34.32163294853814,2,8,"crosswalk_main, sidewalk_right",219,0
1032,34.35492260222246,2,8,"crosswalk_main, sidewalk_right",222,0
1033,34.38821225590679,1,8,crosswalk_main,217,0
1034,34.42150190959111,1,8,crosswalk_main,216,0
1035,34.454791563275435,2,8,"crosswalk_main, sidewalk_right",229,0
1036,34.48808121695976,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",237,1
1037,34.521370870644084,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",229,1
1038,34.554660524328405,2,8,"crosswalk_main, sidewalk_right",229,0
1039,34.58795017801273,2,8,"crosswalk_main, sidewalk_right",236,0
1040,34.62123983169705,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",237,1
1041,34.65452948538138,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",244,1
1042,34.6878191390657,2,8,"crosswalk_main, sidewalk_right",237,0
1043,34.72110879275002,2,8,"crosswalk_main, sidewalk_right",240,0
1044,34.75439844643435,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",260,1
1045,34.78768810011867,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",246,1
1046,34.820977753803,2,8,"crosswalk_main, sidewalk_right",235,0
1047,34.85426740748732,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",244,1
1048,34.88755706117165,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",270,1
1049,34.92084671485597,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",271,1
1050,34.9541363685403,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",254,1
1051,34.98742602222462,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",248,1
1052,35.020715675908946,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",259,1
1053,35.05400532959327,2,8,"crosswalk_main, sidewalk_right",252,0
1054,35.087294983277594,2,8,"crosswalk_main, sidewalk_right",251,0
1055,35.120584636961915,2,8,"crosswalk_main, sidewalk_right",243,0
1056,35.15387429064624,2,8,"crosswalk_main, sidewalk_right",245,0
1057,35.187163944330564,2,8,"crosswalk_main, sidewalk_right",245,0
1058,35.220453598014885,3,8,"crosswalk_main, sidewalk_right, sidewalk_top",234,1
1059,35.25374325169921,2,8,"crosswalk_main, sidewalk_right",226,0
1060,35.28703290538353,3,8,"crosswalk_main, sidewalk_right, sidewalk_top",251,1
1061,35.32032255906786,2,8,"crosswalk_main, sidewalk_right",252,0
1062,35.35361221275218,2,8,"crosswalk_main, sidewalk_right",240,0
1063,35.38690186643651,2,8,"crosswalk_main, sidewalk_right",234,0
1064,35.42019152012083,2,8,"crosswalk_main, sidewalk_right",263,0
1065,35.45348117380516,2,8,"crosswalk_main, sidewalk_right",260,0
1066,35.48677082748948,2,8,"crosswalk_main, sidewalk_right",251,0
1067,35.52006048117381,2,8,"crosswalk_main, sidewalk_right",253,0
1068,35.55335013485813,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",261,1
1069,35.586639788542456,2,8,"crosswalk_main, sidewalk_right",259,0
1070,35.61992944222678,2,8,"crosswalk_main, sidewalk_right",262,0
1071,35.6532190959111,2,8,"crosswalk_main, sidewalk_right",247,0
1072,35.686508749595426,2,8,"crosswalk_main, sidewalk_right",265,0
1073,35.719798403279746,2,8,"crosswalk_main, sidewalk_right",269,0
1074,35.753088056964074,2,8,"crosswalk_main, sidewalk_right",254,0
1075,35.786377710648395,2,8,"crosswalk_main, sidewalk_right",253,0
1076,35.81966736433272,2,8,"crosswalk_main, sidewalk_right",260,0
1077,35.852957018017044,2,8,"crosswalk_main, sidewalk_right",268,0
1078,35.88624667170137,2,8,"crosswalk_main, sidewalk_right",245,0
1079,35.91953632538569,2,8,"crosswalk_main, sidewalk_right",244,0
1080,35.95282597907002,2,8,"crosswalk_main, sidewalk_right",254,0
1081,35.98611563275434,2,8,"crosswalk_main, sidewalk_right",249,0
1082,36.01940528643867,2,8,"crosswalk_main, sidewalk_right",242,0
1083,36.05269494012299,2,8,"crosswalk_main, sidewalk_right",253,0
1084,36.08598459380731,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",259,1
